,asin,data_date,ordered_units
518,B071D7BTTW,2021-05-13,1
519,B071D7BTTW,2021-05-14,0
520,B071D7BTTW,2021-05-15,0
521,B071D7BTTW,2021-05-16,0
522,B071D7BTTW,2021-05-18,0
523,B071D7BTTW,2021-05-19,0
524,B071D7BTTW,2021-05-20,0
525,B071D7BTTW,2021-05-21,0
526,B071D7BTTW,2021-05-23,1
527,B071D7BTTW,2021-05-24,0
528,B071D7BTTW,2021-05-25,2
529,B071D7BTTW,2021-05-26,0
530,B071D7BTTW,2021-05-27,3
531,B071D7BTTW,2021-05-28,0
532,B071D7BTTW,2021-05-29,2
533,B071D7BTTW,2021-05-30,0
534,B071D7BTTW,2021-05-31,0
535,B071D7BTTW,2021-06-01,0
536,B071D7BTTW,2021-06-02,1
537,B071D7BTTW,2021-06-03,0
538,B071D7BTTW,2021-06-04,1
539,B071D7BTTW,2021-06-05,0
540,B071D7BTTW,2021-06-06,2
541,B071D7BTTW,2021-06-07,2
542,B071D7BTTW,2021-06-08,1
543,B071D7BTTW,2021-06-09,0
544,B071D7BTTW,2021-06-10,1
545,B071D7BTTW,2021-06-11,1
546,B071D7BTTW,2021-06-12,1
547,B071D7BTTW,2021-06-13,1
548,B071D7BTTW,2021-06-14,0
549,B071D7BTTW,2021-06-15,1
550,B071D7BTTW,2021-06-16,0
551,B071D7BTTW,2021-06-17,2
552,B071D7BTTW,2021-06-18,1
553,B071D7BTTW,2021-06-19,0
554,B071D7BTTW,2021-06-20,0
555,B071D7BTTW,2021-06-21,0
556,B071D7BTTW,2021-06-22,1
557,B071D7BTTW,2021-06-23,0
558,B071D7BTTW,2021-06-24,0
559,B071D7BTTW,2021-06-25,0
560,B071D7BTTW,2021-06-26,0
561,B071D7BTTW,2021-06-27,0
562,B071D7BTTW,2021-06-28,0
563,B071D7BTTW,2021-06-29,1
564,B071D7BTTW,2021-06-30,0
565,B071D7BTTW,2021-07-01,0
566,B071D7BTTW,2021-07-02,0
567,B071D7BTTW,2021-07-04,0
568,B071D7BTTW,2021-07-05,0
569,B071D7BTTW,2021-07-06,0
570,B071D7BTTW,2021-07-07,1
571,B071D7BTTW,2021-07-08,0
572,B071D7BTTW,2021-07-09,0
573,B071D7BTTW,2021-07-10,0
574,B071D7BTTW,2021-07-11,1
575,B071D7BTTW,2021-07-12,0
576,B071D7BTTW,2021-07-13,0
577,B071D7BTTW,2021-07-14,0
578,B071D7BTTW,2021-07-15,0
579,B071D7BTTW,2021-07-16,1
580,B071D7BTTW,2021-07-17,0
581,B071D7BTTW,2021-07-18,0
582,B071D7BTTW,2021-07-19,3
583,B071D7BTTW,2021-07-20,2
584,B071D7BTTW,2021-07-21,5
585,B071D7BTTW,2021-07-22,1
586,B071D7BTTW,2021-07-23,0
587,B071D7BTTW,2021-07-24,0
588,B071D7BTTW,2021-07-25,0
589,B071D7BTTW,2021-07-26,0
590,B071D7BTTW,2021-07-27,0
591,B071D7BTTW,2021-07-28,1
592,B071D7BTTW,2021-07-29,0
593,B071D7BTTW,2021-07-30,0
594,B071D7BTTW,2021-07-31,0
595,B071D7BTTW,2021-08-01,1
596,B071D7BTTW,2021-08-02,1
597,B071D7BTTW,2021-08-03,2
598,B071D7BTTW,2021-08-04,0
599,B071D7BTTW,2021-08-05,0
600,B071D7BTTW,2021-08-06,0
601,B071D7BTTW,2021-08-07,0
602,B071D7BTTW,2021-08-08,0
603,B071D7BTTW,2021-08-09,0
604,B071D7BTTW,2021-08-10,1
605,B071D7BTTW,2021-08-11,0
606,B071D7BTTW,2021-08-12,0
607,B071D7BTTW,2021-08-13,0
608,B071D7BTTW,2021-08-15,0
609,B071D7BTTW,2021-08-16,1
610,B071D7BTTW,2021-08-17,0
611,B071D7BTTW,2021-08-18,1
612,B071D7BTTW,2021-08-19,0
613,B071D7BTTW,2021-08-20,0
614,B071D7BTTW,2021-08-21,0
615,B074NYJL9J,2019-12-02,482
616,B074NYJL9J,2019-12-03,102
617,B074NYJL9J,2019-12-04,151
618,B074NYJL9J,2019-12-05,167
619,B074NYJL9J,2019-12-06,188
620,B074NYJL9J,2019-12-07,192
621,B074NYJL9J,2019-12-08,254
622,B074NYJL9J,2019-12-09,351
623,B074NYJL9J,2019-12-10,300
624,B074NYJL9J,2019-12-11,355
625,B074NYJL9J,2019-12-12,463
626,B074NYJL9J,2019-12-13,573
627,B074NYJL9J,2019-12-14,639
628,B074NYJL9J,2019-12-15,584
629,B074NYJL9J,2019-12-16,64
630,B074NYJL9J,2019-12-17,210
631,B074NYJL9J,2019-12-18,118
632,B074NYJL9J,2019-12-19,3
633,B074NYJL9J,2019-12-20,102
634,B074NYJL9J,2019-12-21,66
635,B074NYJL9J,2019-12-22,85
636,B074NYJL9J,2019-12-23,21
637,B074NYJL9J,2019-12-24,1
638,B074NYJL9J,2019-12-25,-2
639,B074NYJL9J,2019-12-26,1
640,B074NYJL9J,2019-12-27,35
641,B074NYJL9J,2019-12-28,48
642,B074NYJL9J,2019-12-29,36
643,B074NYJL9J,2019-12-30,6
644,B074NYJL9J,2019-12-31,6
645,B074NYJL9J,2020-01-01,13
646,B074NYJL9J,2020-01-02,3
647,B074NYJL9J,2020-01-03,2
648,B074NYJL9J,2020-01-04,0
649,B074NYJL9J,2020-01-05,7
650,B074NYJL9J,2020-01-06,13
651,B074NYJL9J,2020-01-07,11
652,B074NYJL9J,2020-01-08,16
653,B074NYJL9J,2020-01-09,18
654,B074NYJL9J,2020-01-10,9
655,B074NYJL9J,2020-01-11,15
656,B074NYJL9J,2020-01-12,19
657,B074NYJL9J,2020-01-13,10
658,B074NYJL9J,2020-01-14,32
659,B074NYJL9J,2020-01-15,21
660,B074NYJL9J,2020-01-16,28
661,B074NYJL9J,2020-01-17,27
662,B074NYJL9J,2020-01-18,25
663,B074NYJL9J,2020-01-19,23
664,B074NYJL9J,2020-01-20,24
665,B074NYJL9J,2020-01-21,35
666,B074NYJL9J,2020-01-22,36
667,B074NYJL9J,2020-01-23,36
668,B074NYJL9J,2020-01-24,26
669,B074NYJL9J,2020-01-25,29
670,B074NYJL9J,2020-01-26,12
671,B074NYJL9J,2020-01-27,11
672,B074NYJL9J,2020-01-28,15
673,B074NYJL9J,2020-01-29,21
674,B074NYJL9J,2020-01-30,23
675,B074NYJL9J,2020-01-31,21
676,B074NYJL9J,2020-02-01,27
677,B074NYJL9J,2020-02-02,14
678,B074NYJL9J,2020-02-03,20
679,B074NYJL9J,2020-02-04,38
680,B074NYJL9J,2020-02-05,33
681,B074NYJL9J,2020-02-06,25
682,B074NYJL9J,2020-02-07,34
683,B074NYJL9J,2020-02-08,39
684,B074NYJL9J,2020-02-09,32
685,B074NYJL9J,2020-02-10,40
686,B074NYJL9J,2020-02-11,25
687,B074NYJL9J,2020-02-12,23
688,B074NYJL9J,2020-02-13,16
689,B074NYJL9J,2020-02-14,15
690,B074NYJL9J,2020-02-15,10
691,B074NYJL9J,2020-02-16,10
692,B074NYJL9J,2020-02-17,16
693,B074NYJL9J,2020-02-18,13
694,B074NYJL9J,2020-02-19,21
695,B074NYJL9J,2020-02-20,20
